"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"18:50:51 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0098","40.09067876","-88.21111725","226.69033813","40.08441171","-88.20857729","225.99595642","728.83","CAR HARD SUSPENSION","true","0","0.05","","NOT MEASURED",
"18:50:52 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0099","40.08441171","-88.20857729","225.99595642","40.08379117","-88.20907823","223.66469955","81.08","CAR HARD SUSPENSION","true","0.57","0.08","","NOT MEASURED",
"18:50:59 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0100","40.08379117","-88.20907823","223.66469955","40.08367511","-88.20782657","222.55440903","107.53","CAR HARD SUSPENSION","true","48.31","0.08","3.01","GOOD",
"18:51:06 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0101","40.08367511","-88.20782657","222.55440903","40.08368262","-88.20653477","221.87118149","110.18","CAR HARD SUSPENSION","true","56.7","0.09","3.08","GOOD",
"18:51:13 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0102","40.08368262","-88.20653477","221.87118149","40.08369103","-88.20528971","221.358181","106.19","CAR HARD SUSPENSION","true","54.59","0.07","2.49","GOOD",
"18:51:20 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0103","40.08369103","-88.20528971","221.358181","40.08369968","-88.20404974","221.13210678","105.76","CAR HARD SUSPENSION","true","54.35","0.07","2.49","GOOD",
"18:51:27 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0104","40.08369968","-88.20404974","221.13210678","40.08370869","-88.20280989","220.2087059","105.75","CAR HARD SUSPENSION","true","54.01","0.06","2.31","GOOD",
"18:51:34 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0105","40.08370869","-88.20280989","220.2087059","40.08373224","-88.20155794","220.201931","106.81","CAR HARD SUSPENSION","true","55.31","0.07","2.62","GOOD",
"18:51:41 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0106","40.08373224","-88.20155794","220.201931","40.08372282","-88.20032583","221.42489243","105.09","CAR HARD SUSPENSION","true","53.78","0.07","2.53","GOOD",
"18:51:48 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0107","40.08372282","-88.20032583","221.42489243","40.08371188","-88.1990785","222.17416","106.39","CAR HARD SUSPENSION","true","54.59","0.06","2.15","GOOD",
"18:51:55 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0108","40.08371188","-88.1990785","222.17416","40.08371919","-88.19784131","222.08559799","105.52","CAR HARD SUSPENSION","true","54.03","0.06","2.31","GOOD",
"18:52:02 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0109","40.08371919","-88.19784131","222.08559799","40.08372653","-88.19658436","223.14187241","107.21","CAR HARD SUSPENSION","true","54.71","0.07","2.39","GOOD",
"18:52:09 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0110","40.08372653","-88.19658436","223.14187241","40.08373556","-88.19535115","222.27285385","105.18","CAR HARD SUSPENSION","true","53.96","0.07","2.56","GOOD",
"18:52:16 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0111","40.08373556","-88.19535115","222.27285385","40.08374436","-88.19417009","222.50710678","100.74","CAR HARD SUSPENSION","true","52.44","0.07","2.76","GOOD",
"18:52:23 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0112","40.08374436","-88.19417009","222.50710678","40.0837536","-88.19293035","224.2677269","105.74","CAR HARD SUSPENSION","true","54.76","0.07","2.57","GOOD",
"18:52:30 2019-November-02","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0113","40.0837536","-88.19293035","224.2677269","40.0837552","-88.19172532","224.61385727","102.78","CAR HARD SUSPENSION","true","53.24","0.07","2.57","GOOD",
