"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"18:47:36 2019-November-02","PCC-BS-2nd try-Hard Sus","0098","40.08376799","-88.20884321","226.91830063","0",
"18:50:51 2019-November-02","PCC-BS-2nd try-Hard Sus","0098","40.09067876","-88.21111725","226.69033813","0",
"18:50:56 2019-November-02","PCC-BS-2nd try-Hard Sus","0100","40.08367379","-88.20836874","224.6170311","48.31",
"18:51:01 2019-November-02","PCC-BS-2nd try-Hard Sus","0101","40.08367658","-88.20745104","222.64791489","56.7",
"18:51:06 2019-November-02","PCC-BS-2nd try-Hard Sus","0102","40.08368262","-88.20653477","221.87118149","54.59",
"18:51:11 2019-November-02","PCC-BS-2nd try-Hard Sus","0102","40.08368851","-88.20565148","222.2812767","54.59",
"18:51:16 2019-November-02","PCC-BS-2nd try-Hard Sus","0103","40.08369472","-88.20476111","221.81637192","54.35",
"18:51:21 2019-November-02","PCC-BS-2nd try-Hard Sus","0104","40.08370093","-88.20387085","220.79049301","54.01",
"18:51:26 2019-November-02","PCC-BS-2nd try-Hard Sus","0104","40.08370709","-88.20298796","219.85702133","54.01",
"18:51:31 2019-November-02","PCC-BS-2nd try-Hard Sus","0105","40.08372143","-88.20208566","219.35116196","55.31",
"18:51:36 2019-November-02","PCC-BS-2nd try-Hard Sus","0106","40.0837297","-88.20119586","220.02401352","53.78",
"18:51:41 2019-November-02","PCC-BS-2nd try-Hard Sus","0107","40.08372282","-88.20032583","221.42489243","54.59",
"18:51:46 2019-November-02","PCC-BS-2nd try-Hard Sus","0107","40.08370975","-88.19943763","221.99264145","54.59",
"18:51:51 2019-November-02","PCC-BS-2nd try-Hard Sus","0108","40.08371498","-88.19855675","222.39632797","54.03",
"18:51:56 2019-November-02","PCC-BS-2nd try-Hard Sus","0109","40.08372024","-88.19766024","222.97951889","54.71",
"18:52:01 2019-November-02","PCC-BS-2nd try-Hard Sus","0109","40.08372551","-88.19675854","222.99166489","54.71",
"18:52:06 2019-November-02","PCC-BS-2nd try-Hard Sus","0110","40.08373155","-88.19588855","222.21798325","53.96",
"18:52:11 2019-November-02","PCC-BS-2nd try-Hard Sus","0111","40.08373807","-88.19501405","222.69607162","52.44",
"18:52:16 2019-November-02","PCC-BS-2nd try-Hard Sus","0112","40.08374436","-88.19417009","222.50710678","54.76",
"18:52:21 2019-November-02","PCC-BS-2nd try-Hard Sus","0112","40.083751","-88.19327942","224.84591293","54.76",
"18:52:26 2019-November-02","PCC-BS-2nd try-Hard Sus","0113","40.0837544","-88.19239282","224.48330307","53.24",
