"Time","Road_Identification","Interval_Number","Point_Latitude","Point_Longitude","Point_Altitude","Speed"
"17:24:37 2019-November-02","PCC-GS-1st try","0002","40.08369905","-88.1909734","231.58108139","0",
"17:32:15 2019-November-02","PCC-GS-1st try","0002","40.09198277","-88.18409612","230.02523804","0",
"17:32:20 2019-November-02","PCC-GS-1st try","0004","40.08395663","-88.19093677","230.22018051","22.48",
"17:32:25 2019-November-02","PCC-GS-1st try","0004","40.08385828","-88.19131111","226.339077","22.48",
"17:32:30 2019-November-02","PCC-GS-1st try","0004","40.08385571","-88.19166426","226.68180856","22.48",
"17:32:35 2019-November-02","PCC-GS-1st try","0005","40.08385307","-88.19202589","226.85523965","24.22",
"17:32:40 2019-November-02","PCC-GS-1st try","0005","40.08385025","-88.19241269","226.92593812","24.22",
"17:32:45 2019-November-02","PCC-GS-1st try","0005","40.08384736","-88.1928091","226.56963401","24.22",
"17:32:50 2019-November-02","PCC-GS-1st try","0006","40.08384434","-88.19322324","225.9799296","24.9",
"17:32:55 2019-November-02","PCC-GS-1st try","0006","40.08384137","-88.19363025","225.26569625","24.9",
"17:33:00 2019-November-02","PCC-GS-1st try","0006","40.08383837","-88.19404268","224.791248","24.9",
"17:33:05 2019-November-02","PCC-GS-1st try","0007","40.08383532","-88.19446077","224.62527511","26.5",
"17:33:10 2019-November-02","PCC-GS-1st try","0007","40.0838322","-88.19488911","224.14642305","26.5",
"17:33:15 2019-November-02","PCC-GS-1st try","0007","40.08382893","-88.19533655","224.39339828","26.5",
"17:33:20 2019-November-02","PCC-GS-1st try","0008","40.08382578","-88.19576864","223.17845786","25.72",
"17:33:25 2019-November-02","PCC-GS-1st try","0008","40.08382276","-88.19618358","222.82600238","25.72",
"17:33:30 2019-November-02","PCC-GS-1st try","0008","40.08382053","-88.19648988","222.80409033","25.72",
"17:33:35 2019-November-02","PCC-GS-1st try","0009","40.08381395","-88.19701337","223.05238907","24.06",
"17:33:40 2019-November-02","PCC-GS-1st try","0009","40.08380938","-88.19739311","222.99788191","24.06",
"17:33:45 2019-November-02","PCC-GS-1st try","0009","40.08380548","-88.19777853","222.89642249","24.06",
"17:33:50 2019-November-02","PCC-GS-1st try","0010","40.08380202","-88.19818208","222.99924119","25.2",
"17:33:55 2019-November-02","PCC-GS-1st try","0010","40.08380012","-88.19859949","222.89753176","25.2",
"17:34:00 2019-November-02","PCC-GS-1st try","0010","40.08379794","-88.19901154","222.61676632","25.2",
"17:34:05 2019-November-02","PCC-GS-1st try","0011","40.0837958","-88.19941404","222.48940917","25.29",
"17:34:10 2019-November-02","PCC-GS-1st try","0011","40.0837947","-88.19982679","222.15282021","25.29",
"17:34:15 2019-November-02","PCC-GS-1st try","0011","40.08380442","-88.20024446","221.51620195","25.29",
"17:34:20 2019-November-02","PCC-GS-1st try","0012","40.08381448","-88.20068402","220.95004002","27.11",
"17:34:25 2019-November-02","PCC-GS-1st try","0012","40.08382487","-88.20113802","219.95474962","27.11",
"17:34:30 2019-November-02","PCC-GS-1st try","0012","40.08383377","-88.20152701","219.76146251","27.11",
"17:34:36 2019-November-02","PCC-GS-1st try","0013","40.0838275","-88.2019868","219.40198227","23.32",
"17:34:41 2019-November-02","PCC-GS-1st try","0013","40.08381842","-88.20237007","219.70685619","23.32",
"17:34:46 2019-November-02","PCC-GS-1st try","0013","40.08380996","-88.20272377","219.86726806","23.32",
"17:34:51 2019-November-02","PCC-GS-1st try","0014","40.08380203","-88.20309917","220.1435008","24.87",
"17:34:56 2019-November-02","PCC-GS-1st try","0014","40.08379613","-88.20350312","220.41132961","24.87",
"17:35:01 2019-November-02","PCC-GS-1st try","0014","40.08379347","-88.20391142","220.70807799","24.87",
"17:35:06 2019-November-02","PCC-GS-1st try","0015","40.08379073","-88.20433058","220.9151788","24.44",
"17:35:11 2019-November-02","PCC-GS-1st try","0015","40.08378805","-88.20474149","220.97298813","24.44",
"17:35:16 2019-November-02","PCC-GS-1st try","0015","40.08378551","-88.20513429","223.30764389","24.44",
"17:35:21 2019-November-02","PCC-GS-1st try","0016","40.08378347","-88.20552684","224.78585434","23.17",
"17:35:26 2019-November-02","PCC-GS-1st try","0016","40.08378158","-88.20589193","224.19100571","23.17",
"17:35:31 2019-November-02","PCC-GS-1st try","0016","40.08377959","-88.20627804","225.18862534","23.17",
"17:35:36 2019-November-02","PCC-GS-1st try","0017","40.08377756","-88.2066692","223.27346126","24.89",
"17:35:41 2019-November-02","PCC-GS-1st try","0017","40.08377498","-88.20716846","224.18203591","24.89",
"17:35:46 2019-November-02","PCC-GS-1st try","0017","40.08377344","-88.20751033","225.66073227","24.89",
"17:35:51 2019-November-02","PCC-GS-1st try","0018","40.08377192","-88.20788505","226.19784164","24.81",
"17:35:56 2019-November-02","PCC-GS-1st try","0018","40.08377036","-88.20826855","226.24819158","24.81",
"17:36:01 2019-November-02","PCC-GS-1st try","0018","40.0837684","-88.20875013","228.35097885","24.81",
