"Time","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Interval_Number","Interval_Start_Latitude","Interval_Start_Longitude","Interval_Start_Altitude","Interval_End_Latitude","Interval_End_Longitude","Interval_End_Altitude","Interval_Length","Suspension_Type","Is_Fixed","Speed","St_Dev_Vert_Accel","Roughness","Condition_Category"
"19:00:25 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0131","40.08441539","-88.20851238","226.04847717","40.08434701","-88.20920832","218.66268539","59.84","SUV","true","0.37","0.08","","NOT MEASURED",
"19:00:30 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0132","40.08434701","-88.20920832","218.66268539","40.08367399","-88.20828622","227.27712631","108.49","SUV","true","47.25","0.08","4.44","FAIR",
"19:00:37 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0133","40.08367399","-88.20828622","227.27712631","40.08367942","-88.20704551","224.67665437","105.82","SUV","true","52.87","0.08","4.28","FAIR",
"19:00:44 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0134","40.08367942","-88.20704551","224.67665437","40.08368738","-88.20581313","222.91083815","105.12","SUV","true","53.35","0.07","3.71","GOOD",
"19:00:51 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0135","40.08368738","-88.20581313","222.91083815","40.0836961","-88.20456353","221.12691879","106.58","SUV","true","54.47","0.07","3.83","GOOD",
"19:00:58 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0136","40.0836961","-88.20456353","221.12691879","40.08370474","-88.20332496","220.07412338","105.64","SUV","true","55.21","0.06","3.54","GOOD",
"19:01:05 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0137","40.08370474","-88.20332496","220.07412338","40.0837212","-88.20209454","218.93368149","104.96","SUV","true","53.77","0.07","3.71","GOOD",
"19:01:12 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0138","40.0837212","-88.20209454","218.93368149","40.08372715","-88.20087309","220.68398666","104.18","SUV","true","53.3","0.07","3.92","GOOD",
"19:01:19 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0139","40.08372715","-88.20087309","220.68398666","40.08370913","-88.19964884","221.39113998","104.44","SUV","true","53.63","0.07","3.82","GOOD",
"19:01:26 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0140","40.08370913","-88.19964884","221.39113998","40.08371583","-88.19841245","222.11684799","105.46","SUV","true","54.69","0.07","3.84","GOOD",
"19:01:33 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0141","40.08371583","-88.19841245","222.11684799","40.08372328","-88.19713983","221.85171127","108.55","SUV","true","55.2","0.07","3.75","GOOD",
"19:01:40 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0142","40.08372328","-88.19713983","221.85171127","40.08373162","-88.19587943","223.94295883","107.51","SUV","true","56.44","0.08","3.92","GOOD",
"19:01:47 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0143","40.08373162","-88.19587943","223.94295883","40.08374081","-88.19464684","224.01253891","105.13","SUV","true","54.37","0.08","4.15","FAIR",
"19:01:54 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0144","40.08374081","-88.19464684","224.01253891","40.08375023","-88.19338312","222.14040756","107.79","SUV","true","55.23","0.08","4.22","FAIR",
"19:02:01 2019-November-02","PCC-BS-1st Try-SUV Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0145","40.08375023","-88.19338312","222.14040756","40.08375469","-88.19214908","223.35866928","105.25","SUV","true","53.96","0.07","3.98","GOOD",
