"Project_Name","Road_Identification","Road_Pavement_Type","Road_Lane_Being_Measured","Road_Number","Road_Name","Road_National_Region","Road_Regional_Region","Road_Local_Region","Road_Start_Point_Name","Road_End_Point_Name","Road_Start_Point_Chainage","Road_End_Point_Chainage","Road_Network_Type","Road_Class","Road_Management_Entity","Road_Number_Of_Lanes","Road_Carriageway_Width","Road_Shoulder_Width","Road_Surface_Type","Road_Terrain_Type","Road_Traffic_Level","Road_Traffic_Direction","Road_Observed_Pavement_Condition","Road_Observed_Drainage_Condition","Road_Posted_Speed_Limit","Road_Pavement_Age","Road_Landslide_Vulnerability","Road_Rockfall_Vulnerability","Road_Erosion_Vulnerability","Road_Mudflow_Vulnerability","Road_Flash_Flood_Vulnerability","Road_Flood_Area_Vulnerability","Road_Snow_Fall_Vulnerability","Road_Fog_Vulnerability","Road_Ice_on_Carriageway_Vulnerability","Road_Boulders_on_Carriageway_Vulnerability","Road_Wildfire_Area_Vulnerability","Road_Comments","Time_Road_Created","Time_Link_Created","Link_Name","Link_Number_Of_Bumps","Link_Travel_Time","Link_Start_Latitude","Link_Start_Longitude","Link_Start_Altitude","Link_End_Latitude","Link_End_Longitude","Link_End_Altitude","Length_Link_Total","Average_Speed_Link_Total","Average_Roughness_Link_Total","Median_Roughness_Link_Total","Maximum_Roughness_Link_Total","Minimum_Roughness_Link_Total","StanDev_Roughness_Link_Total","Condition_Category_Link_Total","Length_Link_wRoughness","Average_Speed_Link_wRoughness","Average_Roughness_Link_wRoughness","Median_Roughness_Link_wRoughness","Maximum_Roughness_Link_wRoughness","Minimum_Roughness_Link_wRoughness","StanDev_Roughness_Link_wRoughness","Condition_Category_Link_wRoughness"
"PCC","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18:48:44 2019-November-02","18:50:51 2019-November-02","Link 0001","0","1.78","40.08367511","-88.21111725","220.201931","40.09067876","-88.19172532","226.69033813","2290.76","13.11","3.24","2.56","8","2.15","1.81","Good","1480.85","14.98","2.56","2.54","3.08","2.15","0.25","Good"
"PCC","PCC-BS-2nd try-Hard Sus","Paved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18:48:44 2019-November-02","18:54:38 2019-November-02","Link 0002","0","3.33","40.08377034","-88.20827346","220.52218246","40.09316916","-88.18733558","229.4317894","2556.72","6.52","3.43","2.52","8","2.1","2.13","Good","1446.38","7.71","2.45","2.42","2.96","2.1","0.26","Good"
