"Project_Name","Time_Road_Created","Road_Identification","Road_Pavement_Type","Number_Links","Number_Of_Tags","Number_Of_Bumps","Travel_Time","Length_Road_Total","Avg_Speed_Road_Total","Avg_Roughness_Road_Total","Condition_Category_Road_Total","Length_Road_wRoughness","Avg_Speed_Road_wRoughness","Avg_Roughness_Road_wRoughness","Condition_Category_Road_wRoughness"
"PCC-Interstate St","18:01:13 2019-November-07","PCC-Interstate St-30 mph-1st Try","Paved","1","0","0","1","791.66","39.47","2.98","Good","733.58","45.08","2.27","Good",
"PCC-Interstate St","18:13:38 2019-November-07","PCC-Interstate St-30 mph-2nd Try","Paved","1","0","0","0.93","955.06","35.23","3.62","Good","638.84","46.96","2.16","Good",
"PCC-Interstate St","18:19:57 2019-November-07","PCC-Interstate St-15 mph-1st Try","Paved","1","0","0","1.5","837.32","20.95","3.63","Good","632.67","27.91","2.17","Good",
"PCC-Interstate St","18:27:26 2019-November-07","PCC-Interstate St-15 mph-2nd Try","Paved","1","0","0","1.58","2679.85","22.04","3.43","Good","737.71","28.32","2.12","Good",
