Station,15 mph (i),15 mph (ii),30 mph (i),30 mph (ii)
1,2.2,2.16,2.06,2.435
2,2.24,2.085,2.29,2.485
3,2.04,2.06,2.02,2.22
4,2.1,2.03,2.12,2.1
5,1.98,2.17,2.09,2.215
6,2.44,2.22,2.36,2.235
