Station,15 mph (i),15 mph (ii),30 mph (i),30 mph (ii),15 mph (i),15 mph (ii)
1,3.26,3.09,3.02,2.83,3.085,3
2,2.91,2.91,2.6,2.71,2.815,2.765
3,2.72,2.62,2.37,2.61,2.8,2.63
4,2.88,2.64,2.44,2.4,3.225,3.01
5,3.57,3.38,2.97,2.86,3.34,3.27
6,3.11,3.16,4.29,4.21,3.08,3.08
7,3.05,3,3.19,3.13,3.12,3.045
,3.19,3.09,,,,
